Dia,Momento,Vasos,,Dia,Vasos,Humedad,,Dia,Bebida,Cantidad de vasos,Día Semanal,,Bebida ,Cantidad Arg
2022/21/03,mañana,2,,2022/21/03,9,67,,2022/21/03,Agua,9,lunes,,Agua ,16.80%
2022/21/03,tarde,5,,2022/22/03,5.5,85,,2022/21/03,Gaseosas,0,lunes,,Gaseosas,17.20%
2022/21/03,z noche,2,,2022/23/03,6.5,85,,2022/21/03,Cafe,2,lunes,,Cafe,6.00%
2022/22/03,mañana,3,,2022/24/03,6.5,65,,2022/21/03,Mate,1,lunes,,Mate,36.00%
2022/22/03,tarde,0,,2022/25/03,7,81,,2022/21/03,Jugo,0,lunes,,Jugo,15.20%
2022/22/03,z noche,2.5,,2022/26/03,7,69,,2022/21/03,Otros,0,lunes,,Otros,8.80%
2022/23/03,mañana,2,,2022/27/03,6,46,,2022/22/03,Agua,5.5,martes,,,
2022/23/03,tarde,2.5,,2022/28/03,7,66,,2022/22/03,Gaseosas,0,martes,,,
2022/23/03,z noche,2,,2022/29/03,7,60,,2022/22/03,Cafe,2,martes,,,
2022/24/03,mañana,2,,2022/30/03,5,66,,2022/22/03,Mate,0,martes,,,
2022/24/03,tarde,2.5,,2022/31/03,4,78,,2022/22/03,Jugo,0,martes,,,
2022/24/03,z noche,2,,1/4/2022,7,43,,2022/22/03,Otros,0,martes,,,
2022/25/03,mañana,3,,2/4/2022,7,52,,2022/23/03,Agua,6.5,miércoles,,,
2022/25/03,tarde,2,,3/4/2022,4,92,,2022/23/03,Gaseosas,0,miércoles,,,
2022/25/03,z noche,2,,4/4/2022,5,34,,2022/23/03,Cafe,2,miércoles,,,
2022/26/03,mañana,3,,5/4/2022,7,61,,2022/23/03,Mate,0,miércoles,,,
2022/26/03,tarde,2,,6/4/2022,8,66,,2022/23/03,Jugo,0,miércoles,,,
2022/26/03,z noche,2,,7/4/2022,7,87,,2022/23/03,Otros,0,miércoles,,,
2022/27/03,mañana,3,,8/4/2022,7,72,,2022/24/03,Agua,6.5,jueves,,,
2022/27/03,tarde,1,,9/4/2022,6,72,,2022/24/03,Gaseosas,0,jueves,,,
2022/27/03,z noche,2,,10/4/2022,7,72,,2022/24/03,Cafe,2,jueves,,,
2022/28/03,mañana,2,,11/4/2022,5,78,,2022/24/03,Mate,0,jueves,,,
2022/28/03,tarde,3,,12/4/2022,5,68,,2022/24/03,Jugo,0,jueves,,,
2022/28/03,z noche,2,,2022/13/04,5,48,,2022/24/03,Otros,0,jueves,,,
2022/29/03,mañana,3,,2022/14/04,5,82,,2022/25/03,Agua,7,viernes,,,
2022/29/03,tarde,2,,2022/15/04,4,61,,2022/25/03,Gaseosas,0,viernes,,,
2022/29/03,z noche,2,,2022/16/04,5,74,,2022/25/03,Cafe,2,viernes,,,
2022/30/03,mañana,2,,2022/17/04,5,87,,2022/25/03,Mate,0,viernes,,,
2022/30/03,tarde,1,,,,,,2022/25/03,Jugo,0,viernes,,,
2022/30/03,z noche,2,,,,,,2022/25/03,Otros,2,viernes,,,
2022/31/03,mañana,2,,,,,,2022/26/03,Agua,7,sábado,,,
2022/31/03,tarde,1,,,,,,2022/26/03,Gaseosas,2,sábado,,,
2022/31/03,z noche,1,,,,,,2022/26/03,Cafe,2,sábado,,,
