Dia,Momento,Vasos
2022/21/03,mañana,2
2022/21/03,tarde,5
2022/21/03,z noche,2
2022/22/03,mañana,3
2022/22/03,tarde,0
2022/22/03,z noche,2.5
2022/23/03,mañana,2
2022/23/03,tarde,2.5
2022/23/03,z noche,2
2022/24/03,mañana,2
2022/24/03,tarde,2.5
2022/24/03,z noche,2
2022/25/03,mañana,3
2022/25/03,tarde,2
2022/25/03,z noche,2
2022/26/03,mañana,3
2022/26/03,tarde,2
2022/26/03,z noche,2
2022/27/03,mañana,3
2022/27/03,tarde,1
2022/27/03,z noche,2
2022/28/03,mañana,2
2022/28/03,tarde,3
2022/28/03,z noche,2
2022/29/03,mañana,3
2022/29/03,tarde,2
2022/29/03,z noche,2
2022/30/03,mañana,2
2022/30/03,tarde,1
2022/30/03,z noche,2
2022/31/03,mañana,2
2022/31/03,tarde,1
2022/31/03,z noche,1
1/4/2022,mañana,2
1/4/2022,tarde,2
1/4/2022,z noche,3
2/4/2022,mañana,2
2/4/2022,tarde,3
2/4/2022,z noche,2
3/4/2022,mañana,2
3/4/2022,tarde,1
3/4/2022,z noche,1
4/4/2022,mañana,2
4/4/2022,tarde,1
4/4/2022,z noche,2
5/4/2022,mañana,3
5/4/2022,tarde,3
5/4/2022,z noche,1
6/4/2022,mañana,3
6/4/2022,tarde,3
6/4/2022,z noche,2
7/4/2022,mañana,2
7/4/2022,tarde,3
7/4/2022,z noche,2
8/4/2022,mañana,2
8/4/2022,tarde,2
8/4/2022,z noche,3
9/4/2022,mañana,2
9/4/2022,tarde,2
9/4/2022,z noche,2
10/4/2022,mañana,3
10/4/2022,tarde,3
10/4/2022,z noche,1
11/4/2022,mañana,2
11/4/2022,tarde,1
11/4/2022,z noche,2
12/4/2022,mañana,2
12/4/2022,tarde,1
12/4/2022,z noche,2
2022/13/04,mañana,2
2022/13/04,tarde,2
2022/13/04,z noche,1
2022/14/04,mañana,2
2022/14/04,tarde,1
2022/14/04,z noche,2
2022/15/04,mañana,2
2022/15/04,tarde,1
2022/15/04,z noche,1
2022/16/04,mañana,2
2022/16/04,tarde,1
2022/16/04,z noche,2
2022/17/04,mañana,2
2022/17/04,tarde,2
2022/17/04,z noche,1
